"ID"	"Expense Euros"	"Expense Dollars"	"Description"	"Date"		"Category"	"Type"	"Trip"
367	30		"Logement pour Montréal"	15/02/2020		"housing:hotel"		
368		116	"Québec : CAQ"			"other:authorization"		
369								
370		32,84	"Metro : courses"	17/02/2020		"alimentary:food"		
371								
372		7	"Chez Alphonse : fruits secs"	19/02/2020		"alimentary:food"		
373								
374		14,22	"Chez Alphonse : fruits secs"	26/02/2020		"alimentary:food"		
375		59,55	"Coop zone : livres et piles"			"school:supplies"		
376								
377		56,18	"Epicerie européenne : thé, fromage et gingembre"	27/02/2020		"alimentary:gluttony"		
378								
379		25,13	"Poutineville"	29/02/2020		"alimentary:restaurant"		
380								
381		1080	"Campus Laval : loyer"	01/03/2020		"housing:rent"		
382								
383		60,26	"Metro : courses"	02/03/2020		"alimentary:food"		
384		41,9	"Archambault : livres"			"leasure:book"		
385		40	"Retrait liquide"			"other:withdrawal"		
386		1,5	"Steam : jeu vidéo"			"leasure:video_game"		
387								
388		48,3	"Avance Van Gogh pour Marie et Jacques"	04/03/2020		"leasure:out"		"MONTREAL.20.03"
389		44	"Avance New City Gaz pour Marie et Jacques"			"leasure:out"		"MONTREAL.20.03"
390		-48	"Remboursement avance Van Gogh"			"reimbursement:388"		"MONTREAL.20.03"
391		-44	"Remboursement avance New City Gaz "			"reimbursement:389"		"MONTREAL.20.03"
392								
393		19,5	"Transport Montréal"	05/03/2020		"transport:bus"		"MONTREAL.20.03"
394		176,72	"Metro : courses pour road trip"					"MONTREAL.20.03"
395		-176,72	"Remboursement"			"reimbursement:394"		"MONTREAL.20.03"
396		15,23	"Sandwich boucherie"	06/03/2020		"alimentary:restaurant"		"MONTREAL.20.03"
397		6,66	"Five Guys : milkshake"			"alimentary:gluttony"		"MONTREAL.20.03"
398								
399		6	"Nougat"	07/03/2020		"alimentary:gluttony"		"MONTREAL.20.03"
400								
401		82,79	"Sofitel Montreal : brunch"	08/03/2020		"alimentary:restaurant"		"MONTREAL.20.03"
402								
403		32,83	"Walmart : préservatifs et lubrifiant"	10/03/2020		"equipement:other"		
404		41,84	"Coiffeur"			"other:hairdresser"		
405								
406		8	"Attestation d'inscription"	11/03/2020		"school:registration"		
407		15,4	"Poste : lettre pour CAQ"			"other:post"		
408		14,87	"Univrac : fruits secs"			"alimentary:food"		
409								
410	60,17		"Studio Universal : souvenirs"	13/03/2020		"other:present"		"LA.20.03"
411								
412	3,71		"Mcdo : sundae"	14/03/2020		"alimentary:gluttony"		"LA.20.03"
413	10,51		"Panda Express : manger"			"alimentary:restaurant"		"LA.20.03"
